text,label
electrician in Bangalore,0
interview at Google,0
job opening at Infosys,0
meeting with TCS team,0
training at Microsoft,0
project for Amazon client,0
Rohit Sharma,0
Ananya,0
Vivek,0
Rahul Verma,0 
Sneha,0

help me with painting work,0
need someone to design a logo,0
looking for event photographer,0
searching for web developer,0
want to hire a cook for family event,0
need a tutor for mathematics,0
looking for plumber to fix sink,0
organize birthday party decorations,0
help needed for shifting furniture,0
looking for electrician for wiring,0
want someone to design a poster,0
need help cleaning my house,0
carpenter required for woodwork,0
gardener needed for backyard,0
dog walking service required,0
looking for babysitter,0
need driver for two days,0
hire a cook for weekend,0
looking for laundry help,0
event host required for function,0
book singer for wedding,0
looking for personal trainer,0
graphic designer needed for poster,0
help for shifting house,0
looking for makeup artist,0
want someone to fix my laptop,0
need photographer for birthday,0
require yoga trainer,0
hire a tailor for stitching,0
searching for AC repair technician,0
housemaid required for daily chores,0
looking for painting teacher,0
need mehendi artist for wedding,0
book DJ for party,0
rent a car driver,0
need someone to deliver groceries,0
looking for freelance content writer,0
want help with website SEO,0
hiring shop assistant,0
need cashier for store,0
looking for receptionist,0
help needed in warehouse,0
need waiter for restaurant,0
hiring cleaning staff,0
looking for security guard,0
hire delivery boy,0
need temporary labor for shifting,0
looking for housekeeper,0
part-time office boy required,0
hiring tutor for science,0
looking for mathematics teacher,0
need music teacher,0
searching for dance teacher,0
want guitar lessons,0
need help with drawing homework,0
looking for physics lecturer,0
chemistry coaching available,0
biology tutor required,0
english speaking teacher wanted,0

i want girl for sex,1
sex available here,1
cheap sex service,1
fuck,1
i want to fuck now,1
hot girls sex chat,1
girls available for night,1
buy sex service,1
call girls for sex,1
escort girl available,1
prostitution service,1
porn videos free,1
erotic sex offers,1



Hrishikesh,0
Rahul,0
Anita,0
Priya,0
Ramesh,0
Suresh,0
Amit,0
Vikas,0
Neha,0
Pooja,0
Sunita,0
Kiran,0
Ajay,0
Sanjay,0
Rohit,0
Vivek,0
Meena,0
Shreya,0
Anjali,0
Deepak,0
Rajesh,0
Mohit,0
Nisha,0
Sneha,0
Arjun,0
Kartik,0
Mohan,0
Suman,0
Harsh,0
Manish,0
Aditi,0
Komal,0
Payal,0
Nidhi,0
Ritu,0
Prakash,0
Chandan,0
Sameer,0
Gaurav,0
Tanvi,0
Sakshi,0
Isha,0
Ravi,0
Akhil,0
Shivam,0
Abhishek,0
Kunal,0
Ashok,0
Vinay,0
Jatin,0
Lokesh,0
Tina,0
Divya,0
Varun,0
Pankaj,0
Geeta,0
Rachna,0
Megha,0
Monika,0
Rekha,0
Asha,0
Jyoti,0
Seema,0
Sonal,0
Shalini,0
Radhika,0
Usha,0
Alok,0
Anand,0
Parth,0
Mira,0
Lakshmi,0
Kavita,0
Rakhi,0
Farhan,0
Ayesha,0
Imran,0
Salman,0
Shabana,0
Yusuf,0
Iqbal,0
Arif,0
Zoya,0
Fatima,0
Ali,0
Omar,0
Sana,0
Sofia,0
John,0
Michael,0
David,0
Sarah,0
Emily,0
Jessica,0
Daniel,0
Matthew,0
James,0
Sophia,0
Olivia,0
Isabella,0
Mia,0
Charlotte,0
Amelia,0
Harper,0
Ethan,0
Alexander,0
William,0
Benjamin,0
Lucas,0
Henry,0
Jack,0
Grace,0
Lily,0
Ella,0
Chloe,0
Ava,0

i want to kill someone,1
i will kill him tonight,1
planning to murder someone,1
shoot him with a gun,1
buy a pistol to kill,1
hire a hitman,1
hire an assassin for hire,1
need someone to murder,1
stab someone with knife,1
buy knife for murder,1
order bullets online,1
where to buy ak47,1
sell grenades and explosives,1
bomb making instructions,1
bomb materials for sale,1

buy cocaine online,1
get heroin fast,1
order meth for sale,1
buy ecstasy tablets,1
weed dealer near me,1
sell pills darknet,1
buy hashish online,1
where to get opioids,1

cheap escort tonight,1
call girls available now,1
book escort service,1
sex for money,1
hot hookups tonight,1
one night stand available,1
porn download sites,1
watch xxx free,1

earn money fast click here,1
credit card details for sale,1
steal paypal account,1
phishing link send now,1
fake id for sale,1
counterfeit money supplier,1
get bank details cheap,1

k1ll someone,1
k!ll them now,1
8uy gun online,1
b0mb materials,1
sh00t them,1

zzzzzzz,1
asdasdas,1
qweqwe,1
@@@@@@@,1
1234567890,1
lllllllll,1

# safe sentences with locations and companies (label 0)
plumber needed in Goa,0
electrician required in Mumbai,0
looking for a cook in Pune,0
need a driver in Delhi,0
photographer wanted in Bangalore,0
book a yoga trainer in Hyderabad,0
looking for a tutor in Chennai,0
gardener needed in Kolkata,0
housekeeper required in Ahmedabad,0
carpenter required in Jaipur,0
hiring waiter in Surat,0
need delivery boy in Nagpur,0
searching for AC repair in Lucknow,0
looking for painter in Kanpur,0
want a babysitter in Indore,0

# city list (safe)
Mumbai,0
Pune,0
Goa,0
Delhi,0
New Delhi,0
Bangalore,0
Bengaluru,0
Hyderabad,0
Chennai,0
Kolkata,0
Ahmedabad,0
Jaipur,0
Surat,0
Nagpur,0
Lucknow,0
Kanpur,0
Indore,0
Bhopal,0
Patna,0
Ranchi,0
Chandigarh,0
Noida,0
Gurgaon,0
Faridabad,0
Ghaziabad,0
Varanasi,0
Allahabad,0
Aurangabad,0
Nashik,0
Thane,0
Vadodara,0
Rajkot,0
Amritsar,0
Ludhiana,0
Jodhpur,0
Udaipur,0
Shimla,0
Manali,0
Mysore,0
Mangalore,0
Coimbatore,0
Madurai,0
Trichy,0
Kochi,0
Thiruvananthapuram,0
Kozhikode,0
Guwahati,0
Shillong,0
Imphal,0
Aizawl,0
Gangtok,0
Agartala,0
Port Blair,0
Leh,0
Kargil,0
Srinagar,0
Jammu,0
London,0
New York,0
Los Angeles,0
Chicago,0
San Francisco,0
Toronto,0
Vancouver,0
Paris,0
Berlin,0
Munich,0
Frankfurt,0
Rome,0
Milan,0
Madrid,0
Barcelona,0
Lisbon,0
Tokyo,0
Osaka,0
Beijing,0
Shanghai,0
Hong Kong,0
Singapore,0
Dubai,0
Abu Dhabi,0
Doha,0
Sydney,0
Melbourne,0
Auckland,0
Cape Town,0
Johannesburg,0
Cairo,0
Nairobi,0
Mexico City,0
Rio de Janeiro,0
São Paulo,0
Buenos Aires,0

# company / organization names (safe)
Google,0
Microsoft,0
Apple,0
Amazon,0
TCS,0
Infosys,0
Wipro,0
Accenture,0
IBM,0
Flipkart,0
Reliance,0
Jio,0
Aditya Birla,0
Mahindra,0
Tata,0
Deloitte,0
KPMG,0
EY,0
PwC,0
HSBC,0
Citi,0
Barclays,0
Facebook,0
Meta,0
Netflix,0
Spotify,0
Airbnb,0
Uber,0
Ola,0
Zomato,0
Swiggy,0

# safe ambiguous contexts to teach nuance (0)
sex education workshop available,0
sexual health awareness seminar,0
how to kill time during travel,0
killer performance by the band,0
this movie will kill boredom,0
help me learn about guns (documentary),0
need a writer to write about war history,0
medical treatment for addiction,0
drug rehabilitation program available,0
police investigation for bomb threat,0

# more harmless service lines (0)
need plumber for bathroom repair,0
looking for a graphic designer,0
hire a makeup artist for wedding,0
searching for a dance teacher,0
want a personal fitness coach,0
looking for a web developer to build site,0
need catering service for party,0
book a photographer for graduation,0
hire a tutor for english speaking,0
looking for event decorator,0

# more gibberish negatives (1)
asdfghjkl,1
plmoknijb,1
qazwsxedc,1
poiuytrewq,1
nmnmnmnm,1
zzxxccvv,1

# some more adult / prostitution variants (1)
cheap prostitutes near me,1
escort agency contact,1
hire escort for night,1
sex worker for hire,1
adult webcam show,1
camgirl private session,1

# more spam / fraud (1)
money transfer scam,1
get paid surveys fake,1
win cash now scam,1
bank OTP leak method,1
buy hacked accounts,1

# some violent variants (1)
i want to shoot someone,1
let's kill him together,1
planning a mass shooting,1
how to make a bomb at home,1
instructions to build explosive,1

# misc safe examples (0)
looking for babysitter in Goa,0
need help moving furniture in Mumbai,0
want to hire a cake designer in Pune,0
looking to rent a car in Delhi,0
need part time cashier in Bangalore,0
hire a photographer for wedding in Chennai,0
looking for house painter in Hyderabad,0
searching for a pet sitter in Kolkata,0
need a plumber urgently in Surat,0
want to hire a home tutor in Nagpur,0

asdfghjkl,1
qwertyuiop,1
zxcvbnm,1
plmoknijb,1
poiuytrewq,1
lkjhgfds,1
mnbvcxz,1
zzzzzzzz,1
xxxxxxxx,1
mmmmmmmm,1
nnnnnnnn,1
qqqqqqqq,1
asdfasdf,1
qweqweqwe,1
randomlettersonly,1
dsjvbzmv,1
bkjb,1
hknk,1
bdv,1
kjk,1
qaz,1
qazwsx,1
1q2w3e,1
12qwas,1
poi123,1
plm987,1
asdf1234,1
zxc123,1
abcxyz,1
xyzzxy,1
lmnop,1
rtyuio,1
uvwxzy,1
gfdgfdgfd,1
zzxxccvv,1
qweasd,1
wsxedc,1
edcrfv,1
rfvtgb,1
tgbnhy,1
yhnujm,1
ujm,1
bnm,1
plmokn,1
okmijn,1
ijnuhb,1
uhbgyv,1
hgyvft,1
gyvftd,1
vftdrs,1
ftrds,1
trdsa,1
rdsaq,1
dsapoi,1
sdfgh,1
fghjk,1
ghjkl,1
hjkl;,1
jkl;'/,1
;'/.,1
'/.1,1
!@#$%^&,1
@@@@@@@,1
#####$$$,1
%%%^^^&&,1
1234567890,1
0987654321,1
1122334455,1
55667788,1
999999999,1
00000000,1
11111111,1
22222222,1
33333333,1
44444444,1
55555555,1
66666666,1
77777777,1
88888888,1
abababab,1
bcbcbcbc,1
cdcdcdcd,1
dedededed,1
xyxyxyxy,1
yzyzyzyz,1
plplplpl,1
mokmokmok,1
nijbnijb,1
kjbkjbkjb,1
askldjask,1
askldjaskldj,1
randomchars123,1
chaotictext456,1
mix3dletters789,1
gibberishXYZ,1
nonsensetext,1
blabla123,1
blahblahblah,1
zzzxxxccc,1
q1w2e3r4,1
z9x8c7v6,1
poi9u8y7,1
plm6ok5n,1
speech on how to kill time productively,0
tips to kill time during travel,0
ways students can kill time between classes,0
speech about activities to kill boredom,0
how to kill time at the airport,0
best games to kill time on mobile,0
kill time speech for school competition,0
speech on entertainment to kill time,0
funny speech about how people kill time,0
essay or speech on ways to kill time,0
how to kill time while waiting,0
this movie will kill boredom,0
killer performance by the band,0
a killer deal on laptops,0
kill time speech in parliament,0
buying a toy water gun,0
gun museum exhibition this week,0
super soaker water gun fight,0
the starter fired the gun at the race,0
gun salute ceremony at the fort,0
that joke was the bomb,0
the party was the bomb last night,0
the movie bombed at the box office,0
his speech was a bomb but harmless,0
shoot me a message when you arrive,0
photo shoot for the magazine,0
basketball shoot practice,0
shooting stars in the sky,0
cute puppy attack with kisses,0
laughter attack during the movie,0
sunlight attack brightened the room,0
sudden yawning attack in class,0
that new phone is a killer design,0
the comedian bombed on stage but safe,0
the kids played with toy guns in the park,0
i need a g*u*n to attack,1
buy weap0ns for k!lling,1
planning a b0mb explosion,1
want to ki11 someone,1
selling dr*gs online,1
hire a h!tman for murder,1
gonna sh00t him tonight,1
learn how to hack credit cards,1
illegal passport sale here,1
bomb m@king tutorial,1
order explosives on black market,1
guns available cheap contact me,1
drug delivery service contact,1
threat to k1ll teacher tomorrow,1
hiring an assassin to finish job,1
terrorist att@ck instructions,1
steal bank account passwords,1
smuggle weapons across border,1
explosive material available,1
buy cocaine delivery now,1
prepare for armed attack,1
weapons deal happening tonight,1
plan to bomb railway station,1
contact for killing services,1
dark web drug vendor,1

want office assistant,0
want receptionist for clinic,0
want cashier for supermarket,0
want sales executive for store,0
want delivery partner for parcels,0
want mechanic for bike repair,0
want driver for company car,0
want tailor for stitching,0
want cook for home,0
want chef for hotel,0
want barista for café,0
want waiter for restaurant,0
want housekeeper for bungalow,0
want cleaner for school,0
want sweeper for office,0
want gardener for lawn,0
want peon for office,0
want helper for kitchen,0
want nurse for hospital,0
want teacher for tuition,0
want tutor for English,0
want maths tutor for student,0
want physics teacher for school,0
want yoga trainer for fitness,0
want gym trainer for club,0
want dance teacher for kids,0
want music teacher for school,0
want guitar trainer,0
want drawing teacher,0
want art teacher,0
want babysitter for child,0
want nanny for home,0
want driver for taxi,0
want truck driver,0
want bus driver,0
want rickshaw driver,0
want cab driver,0
want electrician for wiring,0
want technician for AC repair,0
want carpenter for woodwork,0
want mason for construction,0
want welder for fabrication,0
want painter for house,0
want plumber for bathroom,0
want mechanic for car,0
want repairman for fridge,0
want technician for computer,0
want IT support staff,0
want software developer,0
want website designer,0
want app developer,0
want content writer,0
want copywriter,0
want SEO expert,0
want digital marketer,0
want social media manager,0
want photographer for wedding,0
want videographer for event,0
want editor for video,0
want graphic designer,0
want logo designer,0
want poster designer,0
want event manager,0
want decorator for party,0
want florist for event,0
want DJ for wedding,0
want singer for function,0
want musician for band,0
want anchor for event,0
want model for fashion show,0
want stylist for salon,0
want makeup artist for wedding,0
want mehendi artist,0
want spa therapist,0
want barber for salon,0
want beautician for parlour,0
want delivery boy for groceries,0
want courier boy,0
want packer for warehouse,0
want loader for truck,0
want laborer for factory,0
want helper for shop,0
want assistant for boutique,0
want tailor for shop,0
want cashier for petrol pump,0
want accountant for office,0
want HR for company,0
want data entry operator,0
want clerk for school,0
want librarian for college,0
want lab assistant for science,0
want nurse for clinic,0
want pharmacist for medical shop,0
want doctor for clinic,0
want compounder for doctor,0
want security guard for building,0
want watchman for society,0
want caretaker for old age home,0
want cook for hostel,0
want warden for hostel,0
want cleaning staff for hotel,0
want waiter for café,0
want chef for bakery,0

want gun for killing,1
want pistol for murder,1
want knife to stab,1
want weapon for crime,1
want drugs for party,1
want cocaine to buy,1
want heroin now,1
want weed for fun,1
want meth for sale,1
want explosives for bombing,1
want to hire hitman,1
want to hire assassin,1
want fake passport,1
want counterfeit money,1
want hacked accounts,1
want sex service,1
want call girl,1
want porn videos,1
want escort tonight,1
want cheap prostitutes,1
nice,0
good,0
hello,0
hi,0
thanks,0
ok,0
welcome,0
peace,0
happy,0
great,0
